data-ora,ip_src,ip_dst,tcp_src,tcp_dst,host,protocol
2024-09-18 16:12:05,172.21.8.232,20.189.173.4,56468,443,mobile.events.data.microsoft.com,HTTPS
2024-09-18 16:12:06,172.21.8.232,151.100.184.15,33786,443,raise.uniroma1.it,HTTPS
2024-09-18 16:12:06,172.21.8.232,151.100.184.15,33796,443,raise.uniroma1.it,HTTPS
2024-09-18 16:12:07,172.21.8.232,151.100.184.15,33806,443,raise.uniroma1.it,HTTPS
2024-09-18 16:12:14,172.21.8.232,151.100.184.15,49540,443,raise.uniroma1.it,HTTPS
2024-09-18 16:12:14,172.21.8.232,151.100.184.15,49546,443,raise.uniroma1.it,HTTPS
2024-09-18 16:12:20,172.21.8.232,151.100.184.15,49558,443,raise.uniroma1.it,HTTPS
2024-09-18 16:13:09,172.21.8.232,151.100.184.15,42948,443,raise.uniroma1.it,HTTPS
2024-09-18 16:13:31,172.21.8.232,185.125.190.96,53824,80,connectivity-check.ubuntu.com,HTTP
2024-09-18 16:15:45,172.21.8.232,34.110.138.217,55554,443,merino.services.mozilla.com,HTTPS
2024-09-18 16:18:16,172.21.8.232,151.100.184.15,44050,443,raise.uniroma1.it,HTTPS
2024-09-18 16:18:17,172.21.8.232,151.101.65.229,60642,443,cdn.jsdelivr.net,HTTPS
2024-09-18 16:18:31,172.21.8.232,185.125.190.49,52176,80,connectivity-check.ubuntu.com,HTTP
2024-09-18 16:19:29,172.21.8.232,20.50.201.204,45090,443,mobile.events.data.microsoft.com,HTTPS
2024-09-18 16:20:15,172.21.8.232,104.208.16.88,52176,443,mobile.events.data.microsoft.com,HTTPS
