Data,IP Sorgente,IP Destinazione,Porta Sorgente,Porta Destinazione
2024-09-13 09:40:14,172.22.143.39,52.168.117.175,37274,443
2024-09-13 09:40:14,172.22.143.39,52.168.117.175,37274,443
2024-09-13 09:40:14,52.168.117.175,172.22.143.39,443,37274
2024-09-13 09:40:14,52.168.117.175,172.22.143.39,443,37274
2024-09-13 09:40:14,172.22.143.39,52.168.117.175,37274,443
2024-09-13 09:40:14,52.168.117.175,172.22.143.39,443,37274
Data,IP Sorgente,IP Destinazione,Porta Sorgente,Porta Destinazione
2024-09-13 09:42:37,40.74.98.195,172.22.143.39,443,48378
2024-09-13 09:42:37,172.22.143.39,52.168.117.175,37274,443
2024-09-13 09:42:37,172.22.143.39,52.168.117.175,37274,443
2024-09-13 09:42:37,52.168.117.175,172.22.143.39,443,37274
2024-09-13 09:42:37,52.168.117.175,172.22.143.39,443,37274
2024-09-13 09:42:37,172.22.143.39,52.168.117.175,37274,443
2024-09-13 09:42:38,172.22.143.39,40.74.98.195,48378,443
2024-09-13 09:42:38,172.22.143.39,40.74.98.195,48378,443
2024-09-13 09:42:38,172.22.143.39,40.74.98.195,48378,443
2024-09-13 09:42:38,172.22.143.39,40.74.98.195,48378,443
2024-09-13 09:42:38,52.168.117.175,172.22.143.39,443,37274
2024-09-13 09:42:38,40.74.98.195,172.22.143.39,443,48378
2024-09-13 09:42:38,40.74.98.195,172.22.143.39,443,48378
2024-09-13 09:42:38,40.74.98.195,172.22.143.39,443,48378
2024-09-13 09:42:38,40.74.98.195,172.22.143.39,443,48378
2024-09-13 09:42:39,172.22.143.39,40.74.98.195,48378,443
2024-09-13 09:42:39,40.74.98.195,172.22.143.39,443,48378
2024-09-13 09:42:39,172.22.143.39,142.250.180.131,41070,80
2024-09-13 09:42:39,142.250.180.131,172.22.143.39,80,41070
Data,IP Sorgente,IP Destinazione,Porta Sorgente,Porta Destinazione
Data,IP Sorgente,IP Destinazione,Porta Sorgente,Porta Destinazione
Data,IP Sorgente,IP Destinazione,Porta Sorgente,Porta Destinazione
Data,IP Sorgente,IP Destinazione,Porta Sorgente,Porta Destinazione
2024-09-13 09:59:19,172.22.143.39,140.82.121.4,44180,443
2024-09-13 09:59:19,140.82.121.4,172.22.143.39,443,44180
2024-09-13 09:59:19,172.22.143.39,140.82.121.4,44180,443
2024-09-13 09:59:19,172.22.143.39,140.82.121.4,44180,443
2024-09-13 09:59:19,172.22.143.39,140.82.121.4,44192,443
2024-09-13 09:59:19,140.82.121.4,172.22.143.39,443,44180
2024-09-13 09:59:19,140.82.121.4,172.22.143.39,443,44192
2024-09-13 09:59:19,172.22.143.39,140.82.121.4,44180,443
2024-09-13 09:59:19,140.82.121.4,172.22.143.39,443,44180
2024-09-13 09:59:19,172.22.143.39,140.82.121.4,44180,443
2024-09-13 09:59:19,172.22.143.39,140.82.121.4,44192,443
2024-09-13 09:59:19,172.22.143.39,140.82.121.4,44180,443
2024-09-13 09:59:19,172.22.143.39,140.82.121.4,44180,443
2024-09-13 09:59:19,172.22.143.39,140.82.121.4,44180,443
2024-09-13 09:59:19,172.22.143.39,140.82.121.4,44180,443
2024-09-13 09:59:19,172.22.143.39,140.82.121.4,44180,443
2024-09-13 09:59:19,172.22.143.39,140.82.121.4,44192,443
2024-09-13 09:59:19,140.82.121.4,172.22.143.39,443,44192
2024-09-13 09:59:19,140.82.121.4,172.22.143.39,443,44180
2024-09-13 09:59:19,140.82.121.4,172.22.143.39,443,44180
2024-09-13 09:59:19,172.22.143.39,140.82.121.4,44192,443
2024-09-13 09:59:19,140.82.121.4,172.22.143.39,443,44192
2024-09-13 09:59:19,172.22.143.39,140.82.121.4,44192,443
2024-09-13 09:59:19,140.82.121.4,172.22.143.39,443,44180
2024-09-13 09:59:19,140.82.121.4,172.22.143.39,443,44180
2024-09-13 09:59:19,172.22.143.39,140.82.121.4,44180,443
2024-09-13 09:59:19,172.22.143.39,140.82.121.4,44192,443
2024-09-13 09:59:19,172.22.143.39,140.82.121.4,44192,443
2024-09-13 09:59:19,172.22.143.39,140.82.121.4,44192,443
2024-09-13 09:59:19,172.22.143.39,140.82.121.4,44192,443
