"id","persona","progetto","wp","giorno","tipo","oredurata"
0,0,1,0,"2012-04-15","Ricerca e Sviluppo",8
1,0,1,0,"2012-04-16","Ricerca e Sviluppo",8
2,0,1,0,"2012-04-17","Ricerca e Sviluppo",8
3,0,1,0,"2012-04-18","Ricerca e Sviluppo",8
4,8,1,2,"2013-03-15","Dimostrazione",8
5,10,1,0,"2012-06-03","Ricerca e Sviluppo",8
6,2,1,1,"2012-04-22","Dimostrazione",7
7,4,3,1,"2013-01-19","Management",6
8,11,3,2,"2014-02-15","Altro",5
9,0,3,2,"2014-03-08","Ricerca e Sviluppo",6
10,4,2,1,"2000-01-19","Management",2
